aggregator,block_size,image_size,scoring,pearson,spearman,kendall,r2_linear,r2_isotonic
max,1,300,Manhattan,0.3405413618549843,0.1932558485880299,0.13130010707560802,0.11596841913404765,0.4516926260047953
max,1,300,Euclidean,0.35631223904833126,0.1526099570677673,0.10318388615687665,0.12695841169563515,0.442656748809084
max,1,300,Cosine,0.2231227283549327,0.1476078170280669,0.09993886975783325,0.049783751908549334,0.4406492943949628
min,2,150,Manhattan,0.39843237739931187,0.2682698993631022,0.18330499134934264,0.15874835936006793,0.4764642496729292
min,2,150,Euclidean,0.4603441261437372,0.22197749586942114,0.15112518578639114,0.21191671447504123,0.4577081139938073
min,2,150,Cosine,0.29174495513746573,0.21102812505635513,0.14346885591782463,0.08511511884816214,0.45506727174897943
product,2,150,Manhattan,0.4174443188327921,0.16568153396070445,0.1135459870522926,0.17425975932577387,0.45090301829564894
product,2,150,Euclidean,0.5079829347117594,0.11419457648793203,0.07722912215374436,0.2580466619583718,0.4445696094446714
product,2,150,Cosine,0.6220932649453275,0.14602749834060824,0.0994301657164538,0.3870000302903376,0.44697289311225563
std,2,150,Manhattan,0.14531951909050655,0.08789588226424191,0.05958422758596464,0.021117762628696246,0.435693004284502
std,2,150,Euclidean,0.15306030839556148,0.06688562904316477,0.04500123753792023,0.02342745800614443,0.4334183814119458
std,2,150,Cosine,0.6099253942733595,0.1431791155650127,0.0970938467592278,0.3720089865795131,0.44314023320641815
max,2,150,Manhattan,0.32173783036408415,0.1799064369260769,0.12200071550502081,0.10351523148738828,0.44765686618511336
max,2,150,Euclidean,0.33663409918931136,0.14354204002924745,0.09703362566410144,0.11332251673699911,0.44101769351291487
max,2,150,Cosine,0.21019314617728826,0.13881430228285782,0.09397185724994518,0.04418115869990702,0.4389014533551234
var,2,150,Manhattan,0.023503834845637294,0.024591956045984156,0.01693325910347885,0.0005524302524512192,0.43100277150094246
var,2,150,Euclidean,0.017935545917216605,0.017707160327616475,0.011946997883450664,0.00032168380734876045,0.4306724992193567
var,2,150,Cosine,0.6530651640121722,0.04887433688625949,0.03263651561823173,0.42649410844624547,0.4285190312663645
median,2,150,Manhattan,0.3827863007601677,0.251543344126063,0.17166900284209977,0.14652535204965367,0.4661767876075893
median,2,150,Euclidean,0.42639475945827554,0.21181175591824308,0.143916477297575,0.18181249089348084,0.4512875869745525
median,2,150,Cosine,0.27482710791492365,0.20358549719883834,0.13823388093289724,0.07552993924488116,0.4493067504245757
mean,2,150,Manhattan,0.4035863221047282,0.25692357941219235,0.17589515949355983,0.1628819193900215,0.4721472607937792
mean,2,150,Euclidean,0.451373629271526,0.2134914177053659,0.1455243654409132,0.20373815320174915,0.45473344281417505
mean,2,150,Cosine,0.2971589134144079,0.20441500520054792,0.13936868225597449,0.0883034198216317,0.4504397236089154
min,3,100,Manhattan,0.3999003252842852,0.2709388656345401,0.18517330822992342,0.15992027016247712,0.47680845344094236
min,3,100,Euclidean,0.4634795272782043,0.22471727754197773,0.15297007305090612,0.21481327220602797,0.45861862614808835
min,3,100,Cosine,0.2940584129369381,0.21416448065582153,0.1457279599815116,0.08647035021899085,0.45531666230844214
product,3,100,Manhattan,0.47421269200983485,0.24085235353211118,0.1654843833521582,0.2248776772632145,0.46260734009704196
