n_dims,data_source,scoring,weights,pearson,spearman,kendall,r2_linear,r2_isotonic
1,MDS,Euclidean,fixed,0.4625897828542447,0.4623240689129113,0.3191890748619599,0.2139893072011373,0.2305578755826705
1,MDS,Euclidean,optimized,0.4627016514398578,0.46339436331736455,0.3200988309845164,0.21444992646953054,0.26012000962886156
1,MDS,InnerProduct,fixed,0.5521001322189338,0.49052412920738214,0.34182901433274576,0.30481455599616425,0.3435028010250133
1,MDS,InnerProduct,optimized,0.551918147332624,0.49199554020315495,0.34301205161186965,0.3048623102390938,0.37560820961826247
1,MDS,Manhattan,fixed,0.4625897828542447,0.4623240689129113,0.3191890748619599,0.2139893072011373,0.2305578755826705
1,MDS,Manhattan,optimized,0.4627016514398579,0.46339436331736455,0.3200988309845164,0.21444992646953054,0.26012000962886156
2,MDS,Euclidean,fixed,0.5461143631357406,0.542324405763758,0.383013399026177,0.2982408976231553,0.3144590696280064
2,MDS,Euclidean,optimized,0.5419987880831225,0.5364542973414168,0.37781246414029523,0.2945014213819248,0.3409457037571886
2,MDS,InnerProduct,fixed,0.6701908122635558,0.6207401142171538,0.44340692204576276,0.449155724842485,0.4862513097503026
2,MDS,InnerProduct,optimized,0.6638048505647101,0.6178223390778997,0.44080169307972294,0.4408753397975274,0.5121866690419263
2,MDS,Manhattan,fixed,0.5300433652766168,0.5291007575345339,0.37116709082585714,0.280945969073761,0.29643407855232495
2,MDS,Manhattan,optimized,0.5279358330989565,0.5259838844365968,0.36899903053385186,0.2796216278127347,0.3322724006055006
3,MDS,Euclidean,fixed,0.6159880586212142,0.6051290077870694,0.431096805768772,0.37944128836393254,0.40516484401855757
3,MDS,Euclidean,optimized,0.605154404599818,0.5889027127431807,0.41815132968946667,0.3669094045544454,0.42325813605471757
3,MDS,InnerProduct,fixed,0.7237176090507046,0.6827679967713604,0.49528843441833564,0.5237671776500685,0.5609672773219487
3,MDS,InnerProduct,optimized,0.7169217843178269,0.6755648712198287,0.489853575143795,0.5141610201010176,0.5863484738986795
3,MDS,Manhattan,fixed,0.5855167304157114,0.5758570954221123,0.40585520825432486,0.3428298415967048,0.3788643511055373
3,MDS,Manhattan,optimized,0.5782832984714195,0.5659162803807529,0.3986858749068577,0.3351734533539298,0.4020620473278461
4,MDS,Euclidean,fixed,0.6735464612924031,0.6637656327283208,0.4814441079853933,0.45366483551951864,0.4823136974227813
4,MDS,Euclidean,optimized,0.6654494674549938,0.6509070906445418,0.47174279295431926,0.44310455948669925,0.4996442388302567
4,MDS,InnerProduct,fixed,0.7629115919907381,0.73110016832016,0.5383575933341619,0.5820340971938425,0.6135175694977433
4,MDS,InnerProduct,optimized,0.756677372821278,0.724272928514079,0.5332508510477837,0.5728979861124099,0.6335328126499558
4,MDS,Manhattan,fixed,0.6396639751651588,0.629742880009749,0.45076876744107375,0.40917000112409296,0.4418799611390355
4,MDS,Manhattan,optimized,0.6343711694409689,0.6210169295268171,0.4444683289541672,0.4029272987858888,0.46447498040033536
5,MDS,Euclidean,fixed,0.7356518122129747,0.7145864715116432,0.5245172058233144,0.5411835888122338,0.5825904871905387
5,MDS,Euclidean,optimized,0.7288709095719297,0.7016654366075955,0.5135841616851081,0.5314295852221695,0.5882634693395092
5,MDS,InnerProduct,fixed,0.7914549597974914,0.7621654921663212,0.5663229554772112,0.6264009533880488,0.6580441348098014
5,MDS,InnerProduct,optimized,0.7809561160327607,0.7527050528796607,0.5582859792582355,0.6099976849490273,0.6746849277220409
5,MDS,Manhattan,fixed,0.6865418866685038,0.6626028338584371,0.4769557062582895,0.4713397621503487,0.5207329445171336
5,MDS,Manhattan,optimized,0.6798348993944215,0.6525811166066464,0.46929544576529264,0.46254235717679454,0.5413950544572804
6,MDS,Euclidean,fixed,0.7524792453802838,0.7239504549156978,0.5345683502788975,0.5662250147280812,0.6069799761514012
