regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.01457224000897784,0.11144291426271022,0.9852817915091416,0.6332753799246578,0.769217918845809,0.35952801710180343
lasso regression (beta = 0.002),correct,0.017589082223700776,0.12186039231063,0.9822343701771299,0.6180496116976365,0.7575685393585537,0.3754684700685381
lasso regression (beta = 0.005),correct,0.021263727152252516,0.13386995492749015,0.9785242380002431,0.621155273785176,0.7578491213138902,0.3724500274438411
lasso regression (beta = 0.001),correct,0.015964361290542732,0.11620454493793998,0.9838743958646073,0.6192865520329653,0.7587610588567052,0.3743333584745452
lasso regression (beta = 0.02),correct,0.032125681695509445,0.16447284573569637,0.9675449337188138,0.6472272061166329,0.769918517385934,0.34645838489533093
lasso regression (beta = 0.01),correct,0.025616157141468466,0.14685675862271055,0.9741229516919943,0.6300488568444438,0.7609694854106474,0.3635896181209658
lasso regression (beta = 0.1),correct,0.06857978952411922,0.24291036273206298,0.9305838554755823,0.7179626220455979,0.8115369924119887,0.2755070518920925
lasso regression (beta = 0.05),correct,0.046618529140010585,0.19867770888364925,0.9528629693306854,0.6909240868009034,0.7945920119076811,0.30281609552226135
lasso regression (beta = 0.2),correct,0.1156718167983276,0.3205793769455474,0.8827853246473538,0.7370696812540773,0.826125158862199,0.2548065800823459
lasso regression (beta = 0.5),correct,0.28415619787456464,0.5176443361062927,0.7117510903872419,0.7536287976390851,0.8482317638953432,0.2374454075709413
lasso regression (beta = 1.0),correct,0.5965796747992432,0.763690689974052,0.3963078295439776,0.8483666989176726,0.9110799214677024,0.14417371409284116
lasso regression (beta = 2.0),correct,0.9722804530945073,0.9823334056065316,0.025440643604781175,1.0206896582172975,1.0059846036815228,-0.021675401178890063
lasso regression (beta = 10.0),correct,0.9975119686387695,0.9951458338489508,0.0024687341532809936,1.0373204704187247,1.0143568235032074,-0.03703101229525156
lasso regression (beta = 5.0),correct,0.9975119686387695,0.9951458338489508,0.0024687341532809936,1.0373204704187247,1.0143568235032074,-0.03703101229525156
