n_dims,scoring,weights,kendall
1,Euclidean,fixed,0.3838863531716101
1,Euclidean,optimized,0.3840751204961263
1,InnerProduct,fixed,0.27124286569320777
1,InnerProduct,optimized,0.2713260069672632
1,Manhattan,fixed,0.3838863531716101
1,Manhattan,optimized,0.3840751204961263
2,Euclidean,fixed,0.5194151172240564
2,Euclidean,optimized,0.5150656445536678
2,InnerProduct,fixed,0.4296138349083294
2,InnerProduct,optimized,0.4292880326533763
2,Manhattan,fixed,0.4962949056789088
2,Manhattan,optimized,0.49496878362513164
3,Euclidean,fixed,0.5736668228289794
3,Euclidean,optimized,0.5737190557943281
3,InnerProduct,fixed,0.49527946452602833
3,InnerProduct,optimized,0.49668205507660873
3,Manhattan,fixed,0.549379767594018
3,Manhattan,optimized,0.549920411573165
4,Euclidean,fixed,0.6023210581378973
4,Euclidean,optimized,0.600973639266976
4,InnerProduct,fixed,0.5323600341318567
4,InnerProduct,optimized,0.5287114877371423
4,Manhattan,fixed,0.5596320686941159
4,Manhattan,optimized,0.5594352886909528
5,Euclidean,fixed,0.6251228022777712
5,Euclidean,optimized,0.6241742248597598
5,InnerProduct,fixed,0.5601019386363228
5,InnerProduct,optimized,0.5550299321924108
5,Manhattan,fixed,0.5685778703160218
5,Manhattan,optimized,0.569870701363476
6,Euclidean,fixed,0.631757104822876
6,Euclidean,optimized,0.6309895560176534
6,InnerProduct,fixed,0.5664477932446839
6,InnerProduct,optimized,0.5630319269070326
6,Manhattan,fixed,0.5659674817482057
6,Manhattan,optimized,0.5701870943677705
7,Euclidean,fixed,0.6461168523344326
7,Euclidean,optimized,0.6467932364578983
7,InnerProduct,fixed,0.5781945417998564
7,InnerProduct,optimized,0.5759666347669656
7,Manhattan,fixed,0.5811233977729462
7,Manhattan,optimized,0.5904562505726599
8,Euclidean,fixed,0.6500689806261062
8,Euclidean,optimized,0.6493756913772069
8,InnerProduct,fixed,0.5816219819893991
8,InnerProduct,optimized,0.5707622088865681
8,Manhattan,fixed,0.5935109967215177
8,Manhattan,optimized,0.5936677851450538
9,Euclidean,fixed,0.675188749814201
9,Euclidean,optimized,0.6754994134909105
9,InnerProduct,fixed,0.60293319425705
9,InnerProduct,optimized,0.5928022389245793
9,Manhattan,fixed,0.5807501122077485
9,Manhattan,optimized,0.5935077527908816
10,Euclidean,fixed,0.6714780824650504
10,Euclidean,optimized,0.6741964160313361
10,InnerProduct,fixed,0.5983023649377442
10,InnerProduct,optimized,0.5838482374057229
10,Manhattan,fixed,0.5793274504382887
10,Manhattan,optimized,0.5908517447707331
