regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 0.1),0.4637334856112488,0.6617992907215181,0.5357216958135067,0.5941092253547519,0.7472094130045022,0.40690626464093427
linear regression,0.054146558965786226,0.2129116484445019,0.9456500678941907,0.5373285901493702,0.6737442186538535,0.4575012520222616
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.002),0.09483160384447548,0.2831177766346726,0.9046805763115783,0.5254410345514761,0.6637283049006031,0.4691242756089018
lasso regression (beta = 0.001),0.08371071148789179,0.2655145155024221,0.9158863616728581,0.5355268511235474,0.6689188242628912,0.4587091101100481
lasso regression (beta = 0.02),0.18720256967821336,0.40092561930769655,0.8116892034953788,0.4737286849733063,0.6395647819706142,0.5245622184822786
lasso regression (beta = 0.2),0.8365595872506434,0.907992462638226,0.16280091035542388,0.8875282690979229,0.9340592925360965,0.11189845397926182
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 2.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.005),0.11727088944343655,0.31576409770263353,0.8821033996407348,0.5142226474457089,0.6590176597632696,0.48133736868608706
lasso regression (beta = 1.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.01),0.14489718962871473,0.3516290967386175,0.8542663043516348,0.495276264880036,0.6494716724404542,0.5015063334827274
lasso regression (beta = 0.05),0.2906864590347079,0.5090171307295674,0.7082269076670045,0.4837448483945135,0.6589221314868683,0.5167776429162352
