regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 0.001),correct,0.06292203567277263,0.22668284364190908,0.9366523711911825,0.6274400549908381,0.7245233455148836,0.36879806864997
lasso regression (beta = 0.002),correct,0.06989524086019107,0.23896347964324313,0.9296527206006795,0.6063148962926879,0.7110427885900074,0.39050477786927806
linear regression,correct,0.05483582257687432,0.21196926772700425,0.9447728306973701,0.729350283724356,0.780556722572264,0.2638996245668157
lasso regression (beta = 0.01),correct,0.10777533390399358,0.29773139547225247,0.8915678766858055,0.5780976000998397,0.6915958881235574,0.4184298892035211
lasso regression (beta = 0.02),correct,0.14019915171635142,0.3405917264613038,0.858941902370471,0.5507759081021488,0.6737633485919655,0.44485932725267485
lasso regression (beta = 0.005),correct,0.086695263808331,0.2666105607721406,0.9127585716871832,0.5901471979774736,0.7000115278074045,0.40698198701773003
lasso regression (beta = 0.05),correct,0.21527152377452458,0.4263858740135478,0.7835172456651964,0.5393934618556564,0.6734847671641248,0.45747189815830613
lasso regression (beta = 0.1),correct,0.31944454365062996,0.5315274235893954,0.6792006895780168,0.5605971522448568,0.6988204953782817,0.4370380643965137
lasso regression (beta = 0.2),correct,0.5021543826610557,0.6875037588003745,0.4965110619298687,0.6496598722463585,0.7771132751229911,0.34821985884127116
lasso regression (beta = 1.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),correct,0.9823707253182759,0.9847335804001873,0.01778799593624103,1.0024772351104299,0.9948792271412257,-0.0024771502023072933
lasso regression (beta = 5.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 2.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 10.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
