regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.045422885564081895,0.1947028502018832,0.9544806634798666,0.5077567006091551,0.6608106654861097,0.4917159771423814
lasso regression (beta = 0.001),correct,0.07461747839075818,0.24975983985942574,0.9250163293744258,0.5008907665899881,0.6542905406692829,0.49809861876813577
lasso regression (beta = 0.02),correct,0.1389278407782898,0.342758128044924,0.8602845155327142,0.5127799182199495,0.656145460040895,0.4866863264736298
lasso regression (beta = 0.005),correct,0.09744128667933616,0.2863592381675574,0.902109262825286,0.5175785128334023,0.661973763069439,0.48239035615600084
lasso regression (beta = 0.05),correct,0.19550629353262639,0.4088191991942097,0.8037305057128418,0.511977310295615,0.6649669895371243,0.4880998276993277
lasso regression (beta = 0.01),correct,0.1143332671423691,0.3106010639603878,0.8851136346675806,0.5233429642050883,0.6639490076878269,0.4762477917630046
lasso regression (beta = 0.002),correct,0.08253636708015519,0.26299894395724904,0.9170912283503879,0.5088515374799443,0.6587928176125006,0.4912879918634436
lasso regression (beta = 0.1),correct,0.2830405650811073,0.5017822040682208,0.7166757911499481,0.5376747666267203,0.6966473415763351,0.4639971968588762
lasso regression (beta = 0.2),correct,0.46797371303417223,0.6654897774219655,0.5328803223202403,0.6180580038482814,0.7676517055802411,0.38601340734267053
lasso regression (beta = 0.5),correct,0.9501829393331076,0.9690613824283518,0.050270505119444586,0.9792276215832396,0.9836966621755092,0.020956805266066192
lasso regression (beta = 2.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 1.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 10.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 5.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
