regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.04194908604453857,0.18737693920117715,0.9577883185520344,0.561775786713718,0.6865995978782163,0.43382446250409856
lasso regression (beta = 0.01),correct,0.11755659489781277,0.3176810857461047,0.8816117413226194,0.5561119828980289,0.6834908466743983,0.4382687401334037
lasso regression (beta = 0.002),correct,0.08284082987018038,0.26476868388937913,0.9164472950509166,0.5596402919679222,0.6816488651653981,0.43230853044669537
lasso regression (beta = 0.001),correct,0.07405654925524924,0.2498648915565349,0.925283926351705,0.5584744904456852,0.6804448912332178,0.4333081013013236
lasso regression (beta = 0.02),correct,0.14376223629242055,0.3518455290082392,0.8553415397491784,0.5305419771448874,0.6696535847554531,0.46548066167345614
lasso regression (beta = 0.005),correct,0.09893356708557358,0.29049370550875997,0.9002919067685174,0.5673777557810024,0.688162502934292,0.4260439554309396
lasso regression (beta = 0.05),correct,0.20641545009642062,0.42172031778877944,0.7925374780220998,0.49733672139450735,0.6493656389746518,0.5009386989441056
lasso regression (beta = 0.1),correct,0.2906272442766854,0.5056997645214253,0.7083282891866024,0.5044589648006537,0.6608644028445703,0.49398099341554613
lasso regression (beta = 0.2),correct,0.4573953188177367,0.6517575862700704,0.5412511714404312,0.5970913221902562,0.7396249956136987,0.3999548673647114
lasso regression (beta = 1.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 2.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),correct,0.9132243023289779,0.9490688241861527,0.08374718622335436,0.9465611268293737,0.9658342628801436,0.050322795626883965
lasso regression (beta = 10.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 5.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
